Species,Length1,Length2,Length3,Height,Width,Weight
Cypselurus,26.8,29.7,34.7,13.6024,4.9274,450.0
Exocoetus,23.6,25.2,27.9,7.0866,3.906,180.0
Exocoetus,18.2,19.8,22.2,5.6166,3.1746,87.0
Fodiater,43.2,46.0,48.7,7.792,4.87,567.0
Fodiater,40.1,43.0,45.8,7.786,5.1296,540.0
Cypselurus,32.7,36.0,41.5,16.517,5.8515,714.0
Exocoetus,22.0,23.4,26.7,6.9153,3.6312,161.0
Exocoetus,20.5,22.0,24.3,6.6339,3.5478,145.0
Cheilopogon,34.5,37.0,39.4,10.835,6.2646,700.0
Cheilopogon,20.0,22.0,23.5,5.5225,3.995,110.0
Fodiater,32.7,35.0,38.8,5.9364,4.3844,300.0
Cheilopogon,36.5,39.0,41.4,11.1366,6.003,650.0
Exocoetus,19.4,21.0,23.7,6.1146,3.2943,120.0
Hirundichthys,11.3,11.8,13.1,2.2139,1.1659,9.9
Cheilopogon,15.0,16.2,17.2,4.5924,2.6316,51.5
Parexocoetus,14.3,15.5,17.4,6.5772,2.3142,60.0
Fodiater,42.0,45.0,48.0,6.96,4.896,500.0
Parexocoetus,24.0,26.0,29.0,11.368,4.234,300.0
Cheilopogon,40.2,43.5,46.0,12.604,8.142,1000.0
Exocoetus,20.4,22.0,24.7,5.8045,3.7544,150.0
Fodiater,59.0,63.4,68.0,10.812,7.48,1650.0
Cheilopogon,22.6,24.6,26.2,6.7334,4.1658,188.0
Hirundichthys,11.3,11.8,13.1,2.2139,1.2838,10.0
Cypselurus,36.2,39.5,45.3,18.7542,6.7497,925.0
Cypselurus,37.4,41.0,45.9,18.6354,6.7473,975.0
Cheilopogon,22.0,24.0,25.5,7.293,3.723,225.0
Cheilopogon,39.8,43.0,45.2,11.9328,7.2772,1000.0
Parexocoetus,21.2,23.0,25.8,10.3458,3.6636,200.0
Fodiater,56.0,60.0,64.0,9.6,6.144,1550.0
Cheilopogon,36.9,40.0,42.3,11.9286,7.1064,850.0
Cheilopogon,23.5,25.6,27.0,6.561,4.239,197.0
Cypselurus,26.3,29.0,33.5,12.73,4.4555,363.0
Fodiater,56.0,60.0,64.0,9.6,6.144,1600.0
Cypselurus,28.5,30.7,36.2,14.2266,4.9594,500.0
Cypselurus,24.0,26.3,31.2,12.48,4.3056,290.0
Parexocoetus,17.5,19.0,21.3,8.3922,2.9181,120.0
Cheilopogon,20.5,22.5,24.0,5.856,3.624,130.0
Cheilopogon,7.5,8.4,8.8,2.112,1.408,5.9
Cheilopogon,20.7,22.7,24.2,5.9532,3.63,145.0
Cheilopogon,37.0,40.0,42.5,11.73,7.225,900.0
Fodiater,40.0,42.5,45.5,7.28,4.3225,456.0
Exocoetus,20.5,22.5,25.3,7.0334,3.8203,160.0
Cheilopogon,21.0,23.0,24.5,5.2185,3.626,150.0
Cypselurus,26.8,29.7,34.5,14.1795,5.2785,500.0
Cheilopogon,20.5,22.5,24.0,6.792,3.624,150.0
Fodiater,52.0,56.0,59.7,10.6863,6.9849,1250.0
Cheilopogon,25.4,27.5,28.9,7.2828,4.5662,250.0
Fodiater,31.7,34.0,37.8,5.7078,4.158,300.0
Cheilopogon,41.1,44.0,46.6,12.4888,7.5958,1000.0
Cheilopogon,39.0,42.0,44.6,12.8002,6.8684,1100.0
Fodiater,36.0,38.5,41.0,6.396,3.977,345.0
Cheilopogon,25.4,27.5,28.9,7.1672,4.335,260.0
Cheilopogon,13.8,15.0,16.0,3.824,2.432,40.0
Cypselurus,30.4,33.0,38.5,14.938,5.1975,700.0
Cypselurus,26.5,29.0,34.0,12.444,5.134,430.0
Fodiater,44.8,48.0,51.2,7.68,5.376,770.0
Prognichthys,33.7,36.4,39.6,11.7612,6.5736,800.0
Cheilopogon,22.0,24.0,25.5,6.375,3.825,145.0
Parexocoetus,19.8,21.5,24.1,9.7364,3.1571,145.0
Exocoetus,22.1,23.5,26.8,7.3968,4.1272,200.0
Cypselurus,29.5,32.0,37.3,13.9129,5.0728,340.0
Cheilopogon,20.0,22.0,23.5,6.11,3.525,130.0
Cypselurus,35.0,38.5,44.0,18.084,6.292,955.0
Cheilopogon,16.8,18.7,19.4,5.1992,3.1234,78.0
Hirundichthys,10.8,11.3,12.6,1.9782,1.2852,8.7
Exocoetus,17.5,18.8,21.2,5.5756,2.9044,78.0
Exocoetus,29.5,31.7,35.0,9.485,5.355,390.0
Cypselurus,31.4,34.0,39.2,15.9936,5.3704,685.0
Cypselurus,29.4,32.0,37.2,14.9544,5.1708,600.0
Cypselurus,32.8,36.0,41.6,16.8896,6.1984,850.0
Cheilopogon,34.0,36.5,39.0,10.881,6.864,685.0
Cypselurus,28.4,31.0,36.2,14.2628,5.1042,475.0
Cypselurus,29.1,31.5,36.4,13.7592,4.368,500.0
Cypselurus,27.6,30.0,35.0,12.67,4.69,390.0
Exocoetus,19.0,20.5,22.8,6.4752,3.3516,0.0
Cheilopogon,36.6,39.0,41.3,12.4313,7.3514,820.0
Parexocoetus,19.0,20.7,23.2,8.5376,3.2944,140.0
Cypselurus,31.0,33.5,38.7,14.4738,5.7276,650.0
Cheilopogon,20.0,22.0,23.5,6.11,3.4075,120.0
Cheilopogon,27.8,30.0,31.6,7.6156,4.7716,320.0
Cheilopogon,19.0,21.0,22.5,5.6925,3.6675,125.0
