carat,cut,color,clarity,depth,table,x,y,z,Expensive
1.2,Ideal,H,VS2,59.9,57.0,6.91,6.87,4.13,1
0.34,Premium,F,SI1,59.3,60.0,4.52,4.58,2.7,0
0.9,Very Good,G,SI1,63.4,54.0,6.11,6.16,3.89,1
1.51,Good,I,SI2,63.6,60.0,7.27,7.23,4.61,1
0.32,Ideal,F,IF,60.9,57.0,4.4,4.44,2.69,0
0.63,Ideal,G,SI1,62.0,55.0,5.49,5.54,3.42,0
0.23,Very Good,E,VVS2,62.8,58.0,3.92,3.94,2.47,0
1.51,Premium,J,SI2,61.9,56.0,7.44,7.29,4.56,1
1.0,Ideal,D,SI1,60.2,57.0,6.48,6.54,3.92,1
0.59,Ideal,D,SI1,61.8,56.0,5.4,5.37,3.33,0
0.41,Ideal,D,VS1,61.8,57.0,4.8,4.75,2.95,0
1.55,Premium,H,VS2,60.7,58.0,7.51,7.47,4.55,1
1.5,Very Good,H,VS2,62.0,55.0,7.26,7.37,4.57,1
0.71,Very Good,I,SI1,61.9,58.0,5.66,5.69,3.51,0
0.71,Ideal,H,IF,61.2,56.0,5.74,5.79,3.53,1
1.03,Premium,F,VS2,62.6,58.0,6.45,6.4,4.02,1
1.21,Very Good,H,SI1,60.2,58.0,6.89,6.93,4.16,1
0.32,Ideal,H,VVS1,61.9,56.0,4.41,4.38,2.72,0
1.3,Very Good,G,VS1,62.5,57.0,6.92,6.96,4.34,1
0.56,Ideal,G,VS2,61.7,56.0,5.34,5.3,3.28,0
0.37,Ideal,F,SI1,60.2,53.0,4.74,4.7,2.84,0
1.0,Ideal,E,SI2,62.0,57.0,6.37,6.41,3.96,1
0.5,Good,E,SI1,63.5,61.0,4.98,5.03,3.18,0
0.3,Premium,E,VS1,61.3,59.0,4.28,4.33,2.64,0
0.76,Ideal,I,SI1,61.9,56.0,5.85,5.88,3.63,0
0.4,Ideal,D,VVS1,61.6,56.0,4.74,4.77,2.93,0
1.0,Premium,F,SI2,61.7,57.0,6.42,6.35,3.94,1
1.01,Premium,I,SI1,62.3,58.0,6.44,6.4,4.0,1
0.8,Very Good,I,SI2,60.7,56.0,6.01,6.03,3.66,0
0.71,Good,D,VS2,62.3,61.0,5.7,5.73,3.56,0
0.31,Ideal,F,VS2,62.0,56.0,4.35,4.39,2.71,0
0.5,Good,F,SI1,63.1,61.0,5.06,4.98,3.17,0
0.7,Good,I,SI2,63.5,56.0,5.59,5.63,3.56,0
0.71,Ideal,F,VS1,61.8,57.0,5.73,5.76,3.57,1
0.56,Ideal,E,VS1,61.8,56.0,5.33,5.28,3.28,0
0.4,Ideal,F,VVS2,61.6,56.0,4.73,4.77,2.93,0
1.5,Ideal,F,VS2,62.4,55.0,7.31,7.25,4.54,1
0.42,Ideal,E,SI2,62.9,56.0,4.8,4.77,3.01,0
1.25,Premium,H,SI2,60.5,61.0,6.97,6.91,4.2,1
0.36,Ideal,H,IF,61.6,56.0,4.56,4.59,2.82,0
0.77,Ideal,D,SI2,60.6,56.0,5.9,5.95,3.59,0
0.43,Ideal,D,VS1,61.9,55.0,4.85,4.87,3.01,0
1.04,Premium,G,SI2,62.6,58.0,6.49,6.42,4.04,1
0.3,Very Good,F,VS2,63.2,59.0,4.27,4.24,2.69,0
0.33,Ideal,E,VS2,61.9,56.0,4.45,4.4,2.74,0
0.47,Ideal,I,IF,62.2,55.0,4.99,5.01,3.11,0
0.32,Ideal,G,VVS1,61.4,55.0,4.42,4.44,2.72,0
0.5,Ideal,H,SI1,61.3,54.0,5.12,5.16,3.15,0
0.9,Premium,D,VS2,61.6,62.0,6.12,6.09,3.76,1
0.31,Ideal,I,VS2,62.3,53.8,4.32,4.36,2.7,0
2.0,Ideal,J,SI1,62.4,54.0,8.02,8.09,5.03,1
1.03,Premium,H,VS2,63.0,59.0,6.47,6.36,4.04,1
0.95,Very Good,J,VS2,63.5,56.0,6.24,6.27,3.97,1
1.11,Very Good,E,VS1,61.6,57.0,6.59,6.63,4.07,1
0.57,Very Good,G,SI1,61.9,59.0,5.28,5.31,3.28,0
0.38,Premium,H,VS2,60.5,59.0,4.66,4.69,2.83,0
0.31,Premium,I,VS1,60.8,59.0,4.37,4.41,2.67,0
0.37,Premium,D,VS1,61.9,58.0,4.56,4.62,2.84,0
1.05,Premium,D,SI1,61.6,61.0,6.55,6.5,4.02,1
0.76,Ideal,F,SI2,61.9,57.0,5.87,5.9,3.64,0
1.6,Premium,I,VS1,58.6,58.0,7.72,7.66,4.51,1
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,0
2.14,Premium,E,SI2,61.5,58.0,8.31,8.24,5.09,1
1.1,Ideal,I,VS1,60.8,58.0,6.68,6.63,4.04,1
1.04,Premium,D,SI2,62.4,56.0,6.5,6.45,4.04,1
1.64,Ideal,F,SI2,61.4,57.0,7.59,7.55,4.65,1
0.51,Good,E,SI1,63.6,59.0,5.13,5.06,3.24,0
1.7,Good,H,SI1,64.1,58.0,7.54,7.51,4.83,1
0.35,Premium,E,VVS1,63.0,59.0,4.48,4.44,2.81,0
1.21,Premium,G,SI1,59.5,62.0,6.65,6.57,3.84,1
0.5,Very Good,F,VS2,63.4,57.0,5.01,4.96,3.16,0
0.29,Very Good,F,VS1,59.1,60.0,4.33,4.36,2.57,0
0.31,Ideal,H,VS2,61.9,55.0,4.35,4.38,2.7,0
1.03,Premium,E,SI2,61.8,56.0,6.5,6.47,4.01,1
1.13,Very Good,H,SI1,63.3,56.0,6.65,6.62,4.2,1
0.39,Ideal,G,SI1,61.4,55.0,4.7,4.74,2.9,0
0.35,Ideal,E,VS2,62.2,56.0,4.53,4.51,2.81,0
1.52,Very Good,I,SI1,59.9,60.0,7.46,7.49,4.48,1
0.51,Very Good,E,SI1,60.8,57.0,5.12,5.17,3.13,0
0.3,Ideal,E,VVS1,62.6,54.0,4.3,4.33,2.7,0
1.5,Very Good,E,SI1,59.3,60.0,7.4,7.5,4.42,1
2.01,Premium,J,SI1,60.9,58.0,8.15,8.07,4.94,1
1.02,Premium,D,VS2,62.5,58.0,6.4,6.37,3.99,1
0.41,Ideal,J,VS2,61.7,55.0,4.8,4.82,2.97,0
1.02,Ideal,D,SI2,58.9,61.0,6.56,6.62,3.88,1
1.07,Ideal,G,VS2,62.2,57.0,6.55,6.5,4.06,1
0.31,Very Good,H,VS2,60.5,63.0,4.33,4.37,2.63,0
1.54,Premium,G,SI1,63.0,59.0,7.31,7.26,4.59,1
0.32,Premium,I,SI1,61.1,59.0,4.42,4.38,2.69,0
1.0,Good,F,SI2,62.7,57.0,6.29,6.34,3.96,1
0.3,Ideal,I,VS2,62.6,56.0,4.29,4.31,2.69,0
0.54,Ideal,G,SI2,61.4,56.0,5.27,5.29,3.24,0
1.55,Ideal,I,VS2,62.6,56.0,7.41,7.35,4.62,1
0.41,Ideal,E,SI2,62.8,57.0,4.73,4.7,2.96,0
0.42,Ideal,F,VS1,62.3,55.0,4.77,4.79,2.98,0
0.35,Ideal,D,SI1,62.3,57.0,4.52,4.5,2.81,0
1.35,Very Good,I,SI2,58.6,63.0,7.28,7.19,4.24,1
1.01,Very Good,E,SI1,62.8,57.0,6.37,6.41,4.01,1
0.32,Ideal,G,VS1,62.4,56.0,4.37,4.38,2.73,0
0.3,Very Good,G,VS2,61.8,60.0,4.29,4.25,2.64,0
0.3,Ideal,F,VS2,60.9,56.0,4.35,4.32,2.64,0
1.13,Ideal,D,SI1,61.8,56.0,6.68,6.74,4.15,1
0.53,Ideal,G,VVS1,61.8,56.0,5.18,5.2,3.21,0
1.0,Very Good,E,VS1,63.2,55.0,6.34,6.29,3.99,1
1.03,Ideal,E,VS1,61.7,56.0,6.47,6.53,4.01,1
1.08,Very Good,G,SI2,59.8,57.0,6.66,6.72,4.0,1
1.3,Ideal,H,SI2,61.1,57.0,7.09,7.04,4.32,1
0.82,Very Good,G,VS1,63.3,56.0,5.96,5.98,3.78,1
0.33,Ideal,F,VS2,62.1,55.0,4.45,4.47,2.77,0
0.69,Very Good,F,SI1,62.6,59.6,5.59,5.66,3.52,0
1.32,Very Good,J,SI2,61.7,60.0,6.95,7.01,4.31,1
0.71,Premium,E,VS2,59.0,59.0,5.78,5.88,3.44,0
0.72,Ideal,G,VS1,61.3,56.0,5.75,5.8,3.54,1
0.3,Very Good,D,SI2,63.0,55.0,4.25,4.26,2.68,0
0.25,Very Good,I,VVS2,61.6,56.0,4.06,4.09,2.51,0
1.02,Very Good,H,SI1,63.2,57.0,6.44,6.38,4.05,1
0.9,Premium,F,SI2,60.3,55.0,6.35,6.28,3.81,1
0.31,Ideal,E,VS1,60.2,56.0,4.39,4.44,2.66,0
0.71,Ideal,I,VS2,61.6,57.0,5.7,5.62,3.49,0
0.32,Good,G,SI2,63.4,55.0,4.32,4.35,2.75,0
1.01,Premium,D,SI1,61.5,61.0,6.47,6.37,3.95,1
0.73,Ideal,E,SI1,60.6,54.0,5.84,5.89,3.55,0
1.51,Ideal,H,SI2,61.7,57.0,7.39,7.36,4.55,1
0.31,Ideal,G,VS1,61.9,56.0,4.34,4.38,2.7,0
0.31,Premium,D,VVS1,62.7,58.0,4.31,4.3,2.7,0
0.7,Good,E,SI2,63.9,59.0,5.68,5.56,3.59,0
0.57,Ideal,G,VS2,61.8,56.0,5.3,5.35,3.29,0
1.2,Very Good,G,VS1,63.3,57.0,6.77,6.71,4.26,1
1.17,Ideal,F,VS1,62.2,56.0,6.77,6.74,4.2,1
0.71,Very Good,H,VS2,59.2,63.0,5.81,5.85,3.45,0
0.3,Good,G,VS2,61.8,55.0,4.27,4.28,2.73,0
0.3,Very Good,E,VS1,61.4,59.0,4.32,4.28,2.64,0
0.41,Premium,E,VS1,62.0,57.0,4.77,4.74,2.95,0
0.31,Ideal,H,VVS1,61.8,57.0,4.32,4.35,2.68,0
0.74,Very Good,I,VVS2,62.8,55.0,5.75,5.78,3.62,0
0.34,Ideal,D,VVS2,61.2,56.0,4.5,4.52,2.76,0
1.0,Good,G,SI2,58.1,65.0,6.48,6.46,3.76,1
0.41,Ideal,D,VVS2,62.1,56.0,4.78,4.76,2.96,0
0.3,Premium,D,SI1,62.7,60.0,4.23,4.26,2.66,0
0.35,Premium,H,SI1,61.3,55.0,4.58,4.55,2.8,0
1.0,Very Good,H,VS2,61.3,63.0,6.38,6.4,3.92,1
0.3,Premium,H,VS1,62.2,60.0,4.29,4.23,2.65,0
0.74,Premium,G,SI1,60.5,58.0,5.93,5.88,3.57,0
1.2,Very Good,F,SI2,63.3,59.0,6.7,6.66,4.23,1
0.8,Premium,F,SI1,60.1,58.0,6.07,6.05,3.64,1
0.5,Ideal,D,SI1,61.8,55.0,5.11,5.15,3.17,0
1.0,Very Good,D,SI1,62.1,61.0,6.3,6.32,3.92,1
1.4,Premium,D,SI2,61.8,54.0,7.21,7.16,4.44,1
1.07,Ideal,H,SI1,62.0,57.0,6.51,6.56,4.05,1
0.32,Good,E,SI1,62.5,61.0,4.32,4.35,2.71,0
1.57,Premium,G,VS2,62.7,60.0,7.46,7.38,4.65,1
0.33,Ideal,E,SI2,62.2,54.0,4.44,4.46,2.77,0
0.32,Ideal,E,VS2,61.8,57.0,4.41,4.42,2.75,0
0.33,Ideal,E,VS2,61.5,55.0,4.47,4.5,2.76,0
1.6,Ideal,F,SI2,62.8,56.0,7.46,7.41,4.69,1
0.51,Ideal,E,VS1,61.5,56.0,5.16,5.11,3.16,0
2.52,Fair,J,SI2,65.1,56.0,8.51,8.43,5.51,1
0.52,Ideal,G,VS1,60.4,57.0,5.21,5.24,3.16,0
1.07,Ideal,F,SI2,61.6,56.0,0.0,6.62,0.0,1
1.5,Ideal,D,SI2,63.0,56.0,7.3,7.25,4.58,1
1.01,Premium,D,SI1,58.1,61.0,6.66,6.59,3.85,1
0.43,Premium,F,SI1,62.5,56.0,4.85,4.82,3.02,0
1.3,Premium,G,VS2,60.9,60.0,7.04,6.99,4.27,1
0.36,Premium,D,SI2,63.0,59.0,4.52,4.49,2.84,0
0.23,Ideal,J,VS1,62.8,56.0,3.93,3.9,2.46,0
0.32,Ideal,G,VVS2,61.7,57.0,4.41,4.44,2.73,0
1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93,1
0.4,Good,I,VVS1,63.3,57.0,4.67,4.71,2.97,0
0.33,Good,D,SI2,63.3,53.0,4.39,4.42,2.79,0
0.33,Very Good,G,VVS2,61.9,58.0,4.39,4.43,2.73,0
0.53,Very Good,J,VS2,62.4,58.0,5.15,5.24,3.24,0
0.7,Fair,H,I1,66.5,57.0,5.51,5.4,3.64,0
1.02,Ideal,E,SI1,61.1,56.0,6.51,6.45,3.96,1
1.23,Very Good,D,SI1,62.3,57.0,6.8,6.87,4.26,1
0.34,Very Good,E,VS2,61.8,59.0,4.56,4.59,2.69,0
1.02,Fair,J,SI2,65.0,59.0,6.34,6.24,4.08,1
1.04,Very Good,G,VS2,61.4,63.0,6.51,6.55,4.01,1
0.9,Very Good,F,VS2,63.2,58.0,6.11,6.16,3.88,1
1.24,Premium,G,VVS1,60.4,59.0,7.02,7.01,4.24,1
0.3,Ideal,E,VVS2,61.6,57.0,4.29,4.32,2.65,0
2.01,Premium,I,VS2,60.5,60.0,8.15,8.17,4.94,1
1.2,Premium,F,VS1,62.3,58.0,6.78,6.71,4.2,1
1.07,Ideal,H,SI1,62.1,57.0,6.5,6.55,4.05,1
0.34,Very Good,G,VVS2,61.2,59.0,4.46,4.5,2.74,0
0.4,Good,E,SI1,63.7,56.0,4.69,4.66,2.98,0
1.06,Ideal,D,SI1,62.7,54.0,6.52,6.55,4.1,1
0.31,Ideal,G,IF,62.1,54.0,4.37,4.39,2.72,0
0.31,Ideal,F,VVS2,61.2,56.0,4.37,4.39,2.68,0
0.31,Ideal,H,VS2,61.4,56.0,4.38,4.42,2.7,0
0.55,Ideal,E,SI1,60.9,56.0,5.32,5.28,3.23,0
0.31,Ideal,F,VVS2,62.4,55.0,4.36,4.33,2.71,0
1.5,Very Good,G,VS2,63.5,54.0,7.26,7.22,4.6,1
0.71,Very Good,E,SI1,61.3,59.0,5.69,5.73,3.5,0
1.51,Ideal,G,SI1,61.1,57.0,7.46,7.4,4.54,1
1.09,Premium,H,SI2,61.7,60.0,6.59,6.57,4.06,1
0.35,Premium,F,VS2,62.0,59.0,4.55,4.51,2.81,0
0.23,Very Good,F,VVS2,59.3,57.0,4.01,4.05,2.39,0
1.55,Ideal,G,SI2,60.7,55.0,7.54,7.51,4.57,1
0.9,Good,G,VS2,63.7,60.0,6.02,5.98,3.82,1
0.46,Good,E,SI1,62.7,58.0,4.87,4.92,3.07,0
1.71,Good,G,SI2,63.7,57.0,7.54,7.5,4.79,1
0.96,Ideal,G,SI2,62.1,57.0,6.32,6.27,3.91,1
0.7,Good,F,VVS1,59.9,62.0,5.69,5.74,3.42,1
2.01,Ideal,J,SI1,62.8,58.0,8.02,7.97,5.02,1
1.7,Very Good,H,VS2,63.3,58.0,7.48,7.56,4.76,1
1.13,Ideal,G,VS2,62.7,56.0,6.61,6.65,4.16,1
0.57,Good,H,VS1,63.7,51.0,5.36,5.29,3.39,0
0.51,Ideal,G,VVS1,61.4,56.0,5.14,5.15,3.16,0
1.01,Fair,E,SI2,57.9,57.0,6.51,6.55,3.78,1
0.33,Premium,F,VS2,62.1,59.0,4.39,4.44,2.74,0
0.7,Ideal,F,VVS1,62.3,56.0,4.38,4.35,2.72,0
0.74,Ideal,F,VS1,62.0,54.0,5.85,5.81,3.62,1
0.31,Premium,H,VS1,61.1,59.0,4.36,4.35,2.66,0
2.05,Premium,F,SI2,60.2,59.0,8.28,8.33,5.0,1
1.01,Very Good,J,SI1,62.8,57.0,6.37,6.41,4.01,1
2.0,Premium,G,SI2,60.3,57.0,8.25,8.06,4.92,1
0.31,Premium,E,SI1,62.6,60.0,4.35,4.31,2.71,0
0.35,Very Good,E,VVS1,63.0,59.0,4.44,4.48,2.81,0
1.06,Very Good,I,SI1,60.4,59.0,6.56,6.61,3.98,1
0.31,Very Good,J,SI1,58.1,62.0,4.44,4.47,2.59,0
1.03,Very Good,J,SI2,63.1,57.0,6.41,6.43,4.05,1
0.31,Ideal,D,VS2,61.7,55.0,4.4,4.35,2.7,0
1.23,Ideal,G,VS1,61.8,58.0,6.85,6.9,4.25,1
0.59,Very Good,I,VS2,60.3,59.0,5.41,5.43,3.27,0
1.21,Premium,I,VS2,62.3,58.0,6.82,6.79,4.24,1
1.0,Good,D,VVS2,60.2,62.0,6.42,6.46,3.88,1
0.32,Ideal,E,VS2,62.6,53.0,4.38,4.37,2.74,0
0.54,Ideal,E,VS2,62.8,55.0,5.21,5.24,3.28,0
1.71,Ideal,H,VS2,61.4,56.0,7.68,7.71,4.72,1
1.16,Premium,D,I1,61.8,59.0,6.74,6.78,4.18,1
0.72,Ideal,E,VS2,62.1,57.0,5.73,5.76,3.57,1
0.7,Fair,D,VS2,65.2,59.0,5.58,5.55,3.63,0
0.3,Fair,E,VS1,64.5,56.0,4.26,4.2,2.73,0
2.17,Premium,J,SI2,62.3,60.0,8.33,8.2,5.15,1
0.38,Ideal,D,VS1,61.0,57.0,4.66,4.69,2.85,0
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.42,3.99,1
0.3,Very Good,H,VS1,62.9,56.0,4.22,4.27,2.67,0
2.1,Good,H,SI1,63.7,61.0,8.1,8.07,5.15,1
1.01,Premium,G,VS1,60.9,58.0,6.43,6.47,3.93,1
1.0,Premium,F,SI1,62.6,60.0,6.32,6.3,3.95,1
0.8,Ideal,D,SI2,61.5,58.0,5.97,6.0,3.68,1
0.7,Ideal,F,VS1,60.7,56.0,6.54,6.6,3.99,1
1.05,Ideal,F,VVS2,60.5,55.0,6.67,6.58,4.01,1
1.0,Good,F,SI2,59.4,64.0,6.52,6.48,3.86,1
1.56,Ideal,I,VS1,61.2,59.0,7.43,7.5,4.57,1
0.34,Premium,G,VS2,60.2,58.0,4.55,4.52,2.73,0
0.66,Very Good,H,VVS1,61.9,59.0,5.59,5.65,3.48,0
2.01,Very Good,E,SI2,58.9,60.0,8.2,8.24,4.84,1
1.06,Ideal,G,SI2,62.2,55.0,6.53,6.56,4.07,1
0.31,Ideal,H,VVS1,61.5,56.0,4.38,4.34,2.68,0
1.03,Very Good,E,VS1,61.5,58.0,6.43,6.55,3.99,1
0.43,Ideal,H,SI1,62.4,56.0,4.81,4.83,3.01,0
0.56,Ideal,D,SI1,61.3,55.0,5.32,5.35,3.27,0
0.77,Very Good,G,SI1,63.6,57.0,5.79,5.88,3.71,0
0.71,Ideal,E,VS2,62.2,56.0,5.7,5.75,3.56,1
0.4,Ideal,J,SI1,62.2,57.0,4.71,4.74,2.94,0
0.7,Premium,G,SI2,59.0,60.0,5.84,5.82,3.44,0
0.32,Very Good,H,SI1,63.5,57.0,4.39,4.34,2.77,0
